dateOfSleep,timeInBed,minutesAsleep,minutesAwake,minutesToFallAsleep,efficiency,minutesDeep,minutesLight,minutesRem,minutesAsleep,minutesRestless
2023-12-22,496,426,70,0,95,85,258,83,undefined,undefined
2023-12-21,541,462,79,0,89,72,297,93,undefined,undefined
2023-12-20,455,401,54,0,91,86,221,94,undefined,undefined
2023-12-19,361,318,43,0,98,69,207,42,undefined,undefined
2023-12-18,420,389,31,0,98,78,215,96,undefined,undefined
2023-12-17,600,528,72,0,93,80,346,102,undefined,undefined
2023-12-15,428,384,44,0,98,54,277,53,undefined,undefined
2023-12-14,479,443,36,0,98,105,227,111,undefined,undefined
2023-12-08,459,422,37,0,97,80,234,108,undefined,undefined
2023-12-07,447,386,61,0,96,46,250,90,undefined,undefined
2023-12-06,367,336,31,0,98,99,151,86,undefined,undefined
2023-11-20,132,126,6,0,95,undefined,undefined,undefined,126,6
2023-11-15,559,542,17,0,97,undefined,undefined,undefined,542,10
2023-11-14,308,249,59,0,96,26,180,43,undefined,undefined
2023-11-13,492,437,55,0,97,90,244,103,undefined,undefined
2023-11-12,463,406,57,0,95,59,247,100,undefined,undefined
2023-11-11,530,472,58,0,93,94,280,98,undefined,undefined
2023-11-10,324,283,41,0,93,56,172,55,undefined,undefined
2023-11-09,448,414,34,0,97,64,253,97,undefined,undefined
2023-11-08,500,446,54,0,97,68,251,127,undefined,undefined
2023-11-07,348,307,41,0,89,49,190,68,undefined,undefined
2023-11-06,69,63,6,0,91,undefined,undefined,undefined,63,5
2023-11-03,228,217,11,0,95,undefined,undefined,undefined,217,11
2023-11-02,299,279,20,0,98,23,225,31,undefined,undefined
2023-11-01,458,398,60,0,92,25,289,84,undefined,undefined
2023-10-30,464,412,52,0,95,80,256,76,undefined,undefined
